RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
0;11380;5138;47;1;399;206262;0.936666667;477;5;1671;4;0
0;162817;14145;34;0;456;1337596;0.916666667;1121;4;323;2;5
0;40480;206;75;1;521;170234;0.87;25;1;0;6;16
0;28570;1574;52;0;456;264723;0.97;0;3;477;4;0
0;53680;19181;60;1;395;906408;0.283333333;79;4;988;4;2
0;24240;204;59;1;479;170882;0.343333333;120;1;20;5;20
0;230250;14211;67;0;417;6622641;1;717;4;355;2;0
0;179690;18749;53;0;418;3190964;0.55;479;4;3536;7;4
0;22170;9201;41;0;455;347623;0.31;844;3;57;6;9
0;22760;281;40;1;483;210335;0.163333333;923;2;22;3;0
0;172340;3026;46;1;487;2886883;0.996666667;93;2;0;6;5
0;0;16688;33;1;518;160621;0.67;9318;3;0;4;44
0;67465;18769;38;1;437;7064591;1;487;3;127;6;3
1;131838;10252;47;0;450;995796;0.913333333;275;4;0;4;24
0;4390;86;29;0;410;80904;0.976666667;388;2;40;1;0
1;0;3778;49;1;523;1266916;0.88;315;2;0;6;19
1;45060;2018;36;1;415;507328;1;5;3;246;6;0
0;20490;102;34;1;407;126609;0.703333333;0;1;209;4;13
0;0;379;65;0;459;275227;0.275;724;1;0;0;0
0;0;3584;50;0;545;2317898;0.766666667;1683;3;0;8;9
0;38560;11460;58;1;437;1484247;1;425;4;322;6;2
0;172430;5309;59;1;404;3250390;1;33;3;2710;4;0
0;115060;3326;52;1;422;1614055;0.853333333;0;2;255;3;0
1;38530;13709;47;1;427;637665;0.31;1006;5;556;2;3
1;30960;496;38;1;415;493627;0.903333333;0;1;111;2;2
0;0;10623;41;1;538;150873;0.48;1405;4;0;6;20
0;190621;2529;52;1;469;1059685;0.956666667;2840;5;0;7;12
0;79890;23981;35;1;385;1525246;1;1170;4;12126;2;0
0;0;4912;61;1;486;2541506;0.95;307;3;0;4;4
